date	type	request	name
2017-01-07T22:27:57.642Z	node	"{\n""mongoCollectionNode"":""javatheque"",""exportedFields"":"""",""mongoField"":""level_1"",""distinctValues"":true,""mongoIdField"":""level_1"",""label"":""level_1"",""mongoQuery"":""{}"",""subGraph"":""javatheque""}"	Nodes_javatheque.level_1
2017-01-07T22:28:12.059Z	node	"{\n""mongoCollectionNode"":""javatheque"",""exportedFields"":"""",""mongoField"":""level_2"",""distinctValues"":true,""mongoIdField"":""level_2"",""label"":""level_2"",""mongoQuery"":""{}"",""subGraph"":""javatheque""}"	Nodes_javatheque.level_2
2017-01-07T22:28:39.242Z	relation	"{\n""mongoCollectionRel"":""javatheque"",""mongoSourceField"":""level_1"",""neoSourceLabel"":""level_1"",""mongoTargetField"":""level_2"",""neoTargetLabel"":""level_2"",""relationType"":""parent1"",""neoRelAttributeField"":"""",""mongoQuery"":""{}"",""subGraph"":""javatheque""}"	Rels_javatheque.level_1->level_2
2017-01-07T22:30:42.988Z	node	"{\n""mongoCollectionNode"":""javatheque"",""exportedFields"":"""",""mongoField"":""level_3"",""distinctValues"":true,""mongoIdField"":""level_3"",""label"":""level_3"",""mongoQuery"":""{}"",""subGraph"":""javatheque""}"	Nodes_javatheque.level_3
2017-01-07T22:32:00.267Z	relation	"{\n""mongoCollectionRel"":""javatheque"",""mongoSourceField"":""level_2"",""neoSourceLabel"":""level_2"",""mongoTargetField"":""level_3"",""neoTargetLabel"":""level_3"",""relationType"":""parent2"",""neoRelAttributeField"":"""",""mongoQuery"":""{}"",""subGraph"":""javatheque""}"	Rels_javatheque.level_2->level_3
2017-01-08T06:34:27.821Z	node	"{\n""mongoCollectionNode"":""javatheque"",""exportedFields"":"""",""mongoField"":""kebupaten"",""distinctValues"":true,""mongoIdField"":""kebupaten"",""label"":""kebupaten"",""mongoQuery"":""{}"",""subGraph"":""javatheque""}"	Nodes_javatheque.kebupaten
2017-01-08T06:34:42.124Z	node	"{\n""mongoCollectionNode"":""javatheque"",""exportedFields"":"""",""mongoField"":""kecamahan"",""distinctValues"":true,""mongoIdField"":""kecamahan"",""label"":""kecamahan"",""mongoQuery"":""{}"",""subGraph"":""javatheque""}"	Nodes_javatheque.kecamahan
2017-01-08T06:35:06.509Z	node	"{\n""mongoCollectionNode"":""javatheque"",""exportedFields"":"""",""mongoField"":""kelurahan"",""distinctValues"":true,""mongoIdField"":""kelurahan"",""label"":""kelurahan"",""mongoQuery"":""{}"",""subGraph"":""javatheque""}"	Nodes_javatheque.kelurahan
2017-01-08T06:35:29.085Z	node	"{\n""mongoCollectionNode"":""javatheque"",""exportedFields"":"""",""mongoField"":""dusun"",""distinctValues"":true,""mongoIdField"":""dusun"",""label"":""dusun"",""mongoQuery"":""{}"",""subGraph"":""javatheque""}"	Nodes_javatheque.dusun
2017-01-08T07:55:07.453Z	node	"{\n""mongoCollectionNode"":""javatheque"",""exportedFields"":"""",""mongoField"":""propinsi"",""distinctValues"":true,""mongoIdField"":""propinsi"",""label"":""propinsi"",""mongoQuery"":""{}"",""subGraph"":""javatheque""}"	Nodes_javatheque.propinsi
2017-01-08T07:55:47.253Z	relation	"{\n""mongoCollectionRel"":""javatheque"",""mongoSourceField"":""propinsi"",""neoSourceLabel"":""propinsi"",""mongoTargetField"":""kebupaten"",""neoTargetLabel"":""kebupaten"",""relationType"":""inclus"",""neoRelAttributeField"":"""",""mongoQuery"":""{}"",""subGraph"":""javatheque""}"	Rels_javatheque.propinsi->kebupaten
2017-01-08T07:57:30.005Z	relation	"{\n""mongoCollectionRel"":""javatheque"",""mongoSourceField"":""kebupaten"",""neoSourceLabel"":""kebupaten"",""mongoTargetField"":""kecamahan"",""neoTargetLabel"":""kecamahan"",""relationType"":""inclus"",""neoRelAttributeField"":"""",""mongoQuery"":""{}"",""subGraph"":""javatheque""}"	Rels_javatheque.kebupaten->kecamahan
2017-01-08T07:58:14.204Z	relation	"{\n""mongoCollectionRel"":""javatheque"",""mongoSourceField"":""kecamahan"",""neoSourceLabel"":""kecamahan"",""mongoTargetField"":""kelurahan"",""neoTargetLabel"":""kelurahan"",""relationType"":""inclus"",""neoRelAttributeField"":"""",""mongoQuery"":""{}"",""subGraph"":""javatheque""}"	Rels_javatheque.kecamahan->kelurahan
2017-01-08T08:22:20.126Z	node	"{\n""mongoCollectionNode"":""javatheque"",""exportedFields"":"""",""mongoField"":""document"",""distinctValues"":true,""mongoIdField"":""document"",""label"":""document"",""mongoQuery"":""{document:{$exists:true}}"",""subGraph"":""javatheque""}"	Nodes_javatheque.document
2017-01-08T08:23:12.806Z	node	"{\n""mongoCollectionNode"":""javatheque"",""exportedFields"":"""",""mongoField"":""photo"",""distinctValues"":false,""mongoIdField"":""photo"",""label"":""photo"",""mongoQuery"":""{photo:{$exists:true}}"",""subGraph"":""javatheque""}"	Nodes_javatheque.photo
